x,y,Phi
0.0,5000.0,0.048156422675476
100.0,5000.0,0.0591349215725194
200.0,5000.0,0.06326987529333163
300.0,5000.0,0.06373543922975158
400.0,5000.0,0.06377346385839378
500.0,5000.0,0.06544137779424195
600.0,5000.0,0.07207014548869076
700.0,5000.0,0.08119300209704033
800.0,5000.0,0.09406721964620045
900.0,5000.0,0.1130503243473813
1000.0,5000.0,0.12595894380076403
1100.0,5000.0,0.13192775911772298
1200.0,5000.0,0.1390958819042137
1300.0,5000.0,0.13321133134553434
1400.0,5000.0,0.1291657052814086
1500.0,5000.0,0.11927044980281423
1600.0,5000.0,0.10945271178287216
1700.0,5000.0,0.10212602947990368
1800.0,5000.0,0.08923967797024479
1900.0,5000.0,0.08162581731427064
2000.0,5000.0,0.07600611507069803
2100.0,5000.0,0.0754041396921389
2200.0,5000.0,0.08081635458425596
2300.0,5000.0,0.08766465825378932
2400.0,5000.0,0.10009497290522319
2500.0,5000.0,0.11285905307192265
2600.0,5000.0,0.12205415449817009
2700.0,5000.0,0.12949490297786187
2800.0,5000.0,0.12863945306052052
2900.0,5000.0,0.11552906517099935
3000.0,5000.0,0.09467205550540891
3100.0,5000.0,0.0811876766772044
3200.0,5000.0,0.0761355823266601
3300.0,5000.0,0.0836250372511634
3400.0,5000.0,0.09401942561441158
3500.0,5000.0,0.09843580691277044
3600.0,5000.0,0.09983379685855744
3700.0,5000.0,0.10075479314148447
3800.0,5000.0,0.09344772628206409
3900.0,5000.0,0.08120524321363108
4000.0,5000.0,0.06126880947989562
4100.0,5000.0,0.04504908223571071
4200.0,5000.0,0.022946563794870548
4300.0,5000.0,0.019865579465690994
4400.0,5000.0,0.021245149103390593
4500.0,5000.0,0.04813450533241951
4600.0,5000.0,0.07382179818079693
4700.0,5000.0,0.09360145559221736
4800.0,5000.0,0.10874971547001631
4900.0,5000.0,0.11629889143970953
5000.0,5000.0,0.11349118944275692
5100.0,5000.0,0.11344889002174399
5200.0,5000.0,0.11380090578286427
5300.0,5000.0,0.1167176148071698
5400.0,5000.0,0.11737849248677011
5500.0,5000.0,0.11701982580817841
5600.0,5000.0,0.11466424696718017
5700.0,5000.0,0.10538965703913361
5800.0,5000.0,0.10157142024301473
5900.0,5000.0,0.09460922635889785
6000.0,5000.0,0.09406210168359741
6100.0,5000.0,0.09791090076799597
6200.0,5000.0,0.10238605968131284
6300.0,5000.0,0.10767474695116695
6400.0,5000.0,0.11778217483424432
6500.0,5000.0,0.12125642247474064
6600.0,5000.0,0.1163816056105591
6700.0,5000.0,0.10172001993760081
6800.0,5000.0,0.09632130135184566
6900.0,5000.0,0.09518939583807016
7000.0,5000.0,0.09099545400579144
7100.0,5000.0,0.09007233947833532
7200.0,5000.0,0.10120980775727194
7300.0,5000.0,0.11456140901265421
7400.0,5000.0,0.12987198955725718
7500.0,5000.0,0.1386395167473322
7600.0,5000.0,0.13099268583556076
7700.0,5000.0,0.11674202308761965
7800.0,5000.0,0.10162913585090119
7900.0,5000.0,0.09401039023757433
8000.0,5000.0,0.09444377698062342
8100.0,5000.0,0.08776447379665556
8200.0,5000.0,0.08469762420525186
8300.0,5000.0,0.07622313986164693
8400.0,5000.0,0.06123184554572308
8500.0,5000.0,0.048620201996026714
8600.0,5000.0,0.03602034623622996
8700.0,5000.0,0.03592210624596626
8800.0,5000.0,0.034743443704719254
8900.0,5000.0,0.03594675686731212
9000.0,5000.0,0.04025451502702276
9100.0,5000.0,0.04915673891189472
9200.0,5000.0,0.059540365418405024
9300.0,5000.0,0.07126347969578585
9400.0,5000.0,0.08734622710089864
9500.0,5000.0,0.10199336074807314
9600.0,5000.0,0.10646650977244686
9700.0,5000.0,0.10983610171590001
9800.0,5000.0,0.10376627161225921
9900.0,5000.0,0.10115314118441913
