x,y,Phi
300.0,300.0,0.084123801653003
900.0,900.0,0.09185265978825208
1400.0,1400.0,0.09749465447482483
1900.0,1900.0,0.08613116970476072
2400.0,2400.0,0.09442331838651355
2900.0,2900.0,0.11578076748422081
3400.0,3400.0,0.09354791024796216
3900.0,3900.0,0.08040471037484298
4400.0,4400.0,0.10901384085308732
4900.0,4900.0,0.10852130459072908
5400.0,5400.0,0.1287890091934025
5900.0,5900.0,0.11820127608561994
6400.0,6400.0,0.0994153742366337
6900.0,6900.0,0.08163878220877793
7400.0,7400.0,0.09038072584965762
7900.0,7900.0,0.14552712861720843
8400.0,8400.0,0.1286253677006553
8900.0,8900.0,0.13107519852347257
9400.0,9400.0,0.1260940343166424
9800.0,9800.0,0.10728812282375617
300.0,300.0,0.07306733958927113
900.0,900.0,0.09748312479019072
1400.0,1400.0,0.1228243709223542
1900.0,1900.0,0.09253331313836526
2400.0,2400.0,0.10554098051301214
2900.0,2900.0,0.09227568963296166
3400.0,3400.0,0.0820255269851258
3900.0,3900.0,0.09112323901291354
4400.0,4400.0,0.10329953164066107
4900.0,4900.0,0.12127946908058748
5400.0,5400.0,0.0985097523330931
5900.0,5900.0,0.0999759953647603
6400.0,6400.0,0.11252176659743586
6900.0,6900.0,0.10279296337669944
7400.0,7400.0,0.0989808713247807
7900.0,7900.0,0.09613120102876284
8400.0,8400.0,0.10179647738649521
8900.0,8900.0,0.09665250581784962
9400.0,9400.0,0.07997958078071893
9800.0,9800.0,0.10297458017123266
300.0,300.0,0.10169952445073976
900.0,900.0,0.09264010481022968
1400.0,1400.0,0.0900828055714601
1900.0,1900.0,0.09578690124642311
2400.0,2400.0,0.11859338291785024
2900.0,2900.0,0.09507037660818671
3400.0,3400.0,0.097277845291906
3900.0,3900.0,0.09900678580182568
4400.0,4400.0,0.10184416879714606
4900.0,4900.0,0.09452304455851616
5400.0,5400.0,0.09982721900223777
5900.0,5900.0,0.11927602085963801
6400.0,6400.0,0.11277671028760648
6900.0,6900.0,0.10153767362610593
7400.0,7400.0,0.0865728623852171
7900.0,7900.0,0.0989289620051074
8400.0,8400.0,0.10963592984764396
8900.0,8900.0,0.12383356645456661
9400.0,9400.0,0.10414195040112445
9800.0,9800.0,0.11169737376645653
300.0,300.0,0.11386249290279468
900.0,900.0,0.1279393007428379
1400.0,1400.0,0.09446314558178022
1900.0,1900.0,0.09369654734672811
2400.0,2400.0,0.08141824883121013
2900.0,2900.0,0.0838461483262993
3400.0,3400.0,0.08187992602913371
3900.0,3900.0,0.11275329797302878
4400.0,4400.0,0.11286071874693998
4900.0,4900.0,0.1025270230420085
5400.0,5400.0,0.1124928540937021
5900.0,5900.0,0.09891458668182918
6400.0,6400.0,0.10223118627792577
6900.0,6900.0,0.0777934854206244
7400.0,7400.0,0.1050826766907135
7900.0,7900.0,0.10026373397130615
8400.0,8400.0,0.10103236360618963
8900.0,8900.0,0.0841744437387772
9400.0,9400.0,0.0666809480471482
9800.0,9800.0,0.07101544977770816
300.0,300.0,0.10283548552487008
900.0,900.0,0.10841574073747529
1400.0,1400.0,0.07621429395497242
1900.0,1900.0,0.0660154318554437
2400.0,2400.0,0.0654086954081522
2900.0,2900.0,0.07830259729375315
3400.0,3400.0,0.11434150385614712
3900.0,3900.0,0.10466913241568687
4400.0,4400.0,0.10406707163342561
4900.0,4900.0,0.1054467008428925
5400.0,5400.0,0.1003456277696715
5900.0,5900.0,0.07033375408384053
6400.0,6400.0,0.08908957130945366
6900.0,6900.0,0.10852911799952629
7400.0,7400.0,0.09693948378520474
7900.0,7900.0,0.09126565048552542
8400.0,8400.0,0.10546839295557285
8900.0,8900.0,0.11402299015052124
9400.0,9400.0,0.09917307297586236
9800.0,9800.0,0.10646970164311514
300.0,300.0,0.10676402958920253
900.0,900.0,0.10032957907588677
1400.0,1400.0,0.09494780787518606
1900.0,1900.0,0.051765602048758484
2400.0,2400.0,0.07422472590295849
2900.0,2900.0,0.09475839388741114
3400.0,3400.0,0.10616666703654114
3900.0,3900.0,0.08804270179482715
4400.0,4400.0,0.11108164128315029
4900.0,4900.0,0.08912043627000314
5400.0,5400.0,0.08767510678558191
5900.0,5900.0,0.10733077749729278
6400.0,6400.0,0.10262542379987083
6900.0,6900.0,0.10668344750945936
7400.0,7400.0,0.10821690221019171
7900.0,7900.0,0.09425009071887765
8400.0,8400.0,0.08719710886748505
8900.0,8900.0,0.13271323408866084
9400.0,9400.0,0.10649188533889992
9800.0,9800.0,0.08577215497221147
300.0,300.0,0.10164454088473712
900.0,900.0,0.10841056291614608
1400.0,1400.0,0.0926113230926095
1900.0,1900.0,0.11606364157645337
2400.0,2400.0,0.0941114380529883
2900.0,2900.0,0.10079063560634659
3400.0,3400.0,0.09979066447990423
3900.0,3900.0,0.08894238075256528
4400.0,4400.0,0.11312630797364864
4900.0,4900.0,0.0923461594662556
5400.0,5400.0,0.11263663175798574
5900.0,5900.0,0.1037409434956952
6400.0,6400.0,0.12915096990353184
6900.0,6900.0,0.1047016787627771
7400.0,7400.0,0.09747465433957128
7900.0,7900.0,0.11527283568332208
8400.0,8400.0,0.10093130934150855
8900.0,8900.0,0.08249347803224134
9400.0,9400.0,0.10115366173368764
9800.0,9800.0,0.0994616941811748
300.0,300.0,0.09864838542487986
900.0,900.0,0.12364989227628563
1400.0,1400.0,0.08133595596484972
1900.0,1900.0,0.13548473507672712
2400.0,2400.0,0.12248322305000242
2900.0,2900.0,0.0949041204388485
3400.0,3400.0,0.07632662647362626
3900.0,3900.0,0.1065293665322518
4400.0,4400.0,0.1240830648869431
4900.0,4900.0,0.08705254577597855
5400.0,5400.0,0.09060129737560466
5900.0,5900.0,0.10477865740449316
6400.0,6400.0,0.09645140553559353
6900.0,6900.0,0.10488912741792766
7400.0,7400.0,0.11237743159118678
7900.0,7900.0,0.09412463810975634
8400.0,8400.0,0.12248367521836785
8900.0,8900.0,0.10504808124208793
9400.0,9400.0,0.08102122913028188
9800.0,9800.0,0.11117809800204337
300.0,300.0,0.08701128935329289
900.0,900.0,0.09173126181208476
1400.0,1400.0,0.1109603787573352
1900.0,1900.0,0.11646013785374411
2400.0,2400.0,0.08982203719088876
2900.0,2900.0,0.07871965605158365
3400.0,3400.0,0.09071955326977088
3900.0,3900.0,0.1194613559809621
4400.0,4400.0,0.1431563721279606
4900.0,4900.0,0.07814140929007539
5400.0,5400.0,0.0777816213771319
5900.0,5900.0,0.11100359073825734
6400.0,6400.0,0.1015580066349661
6900.0,6900.0,0.10064822179594039
7400.0,7400.0,0.08917446026730974
7900.0,7900.0,0.08653925567968138
8400.0,8400.0,0.08914288220885602
8900.0,8900.0,0.09504673067886067
9400.0,9400.0,0.11334010391044602
9800.0,9800.0,0.0739145698755313
300.0,300.0,0.08418526404889752
900.0,900.0,0.08807764516693686
1400.0,1400.0,0.10904997337095901
1900.0,1900.0,0.08078084864984991
2400.0,2400.0,0.08896797194377327
2900.0,2900.0,0.12043231595659476
3400.0,3400.0,0.10714358354117548
3900.0,3900.0,0.11775519635124222
4400.0,4400.0,0.1128933885789142
4900.0,4900.0,0.12502805587191135
5400.0,5400.0,0.11157883994811149
5900.0,5900.0,0.09726590836851401
6400.0,6400.0,0.09868792171307851
6900.0,6900.0,0.09095307226658676
7400.0,7400.0,0.11952429523255848
7900.0,7900.0,0.10888020935343871
8400.0,8400.0,0.061733102783520996
8900.0,8900.0,0.04883809556715195
9400.0,9400.0,0.10134802169177791
9800.0,9800.0,0.07826338179658658
300.0,300.0,0.09407750231439709
900.0,900.0,0.07449600874285672
1400.0,1400.0,0.11172280750169217
1900.0,1900.0,0.0862759310014182
2400.0,2400.0,0.10466001643571156
2900.0,2900.0,0.11009760375868684
3400.0,3400.0,0.06090863467273417
3900.0,3900.0,0.09922613547189892
4400.0,4400.0,0.08059192416116717
4900.0,4900.0,0.08326884188478678
5400.0,5400.0,0.09931230880809157
5900.0,5900.0,0.08739467814431923
6400.0,6400.0,0.1393504854128176
6900.0,6900.0,0.11329709313298647
7400.0,7400.0,0.0962155911140023
7900.0,7900.0,0.07716858740044966
8400.0,8400.0,0.060104318477668214
8900.0,8900.0,0.07646084315801714
9400.0,9400.0,0.0928064624702577
9800.0,9800.0,0.1191622180768105
300.0,300.0,0.09196037431115932
900.0,900.0,0.09681154832362521
1400.0,1400.0,0.10402884023920135
1900.0,1900.0,0.09102701535198506
2400.0,2400.0,0.11394391284121223
2900.0,2900.0,0.09732212803969834
3400.0,3400.0,0.08138224685294602
3900.0,3900.0,0.10444511278381421
4400.0,4400.0,0.10237496061706176
4900.0,4900.0,0.06795877748164454
5400.0,5400.0,0.1118388322807925
5900.0,5900.0,0.09463100459471557
6400.0,6400.0,0.10092286111720641
6900.0,6900.0,0.098168825303737
7400.0,7400.0,0.11525386857092075
7900.0,7900.0,0.10877933323656733
8400.0,8400.0,0.06960470921845156
8900.0,8900.0,0.09733659188134094
9400.0,9400.0,0.11078063906827375
9800.0,9800.0,0.11014390195615155
300.0,300.0,0.09693113067216469
900.0,900.0,0.11439396153373414
1400.0,1400.0,0.07078150338746508
1900.0,1900.0,0.08495589656296534
2400.0,2400.0,0.11544828180769201
2900.0,2900.0,0.07169302588462453
3400.0,3400.0,0.14131128374683785
3900.0,3900.0,0.08997513653256889
4400.0,4400.0,0.08113723111763471
4900.0,4900.0,0.06794217529360176
5400.0,5400.0,0.10747984538066811
5900.0,5900.0,0.10558791333378985
6400.0,6400.0,0.12131994815638324
6900.0,6900.0,0.11952823108666623
7400.0,7400.0,0.10003679141033253
7900.0,7900.0,0.08899723189209315
8400.0,8400.0,0.10683551255590729
8900.0,8900.0,0.11688719459350107
9400.0,9400.0,0.1355694211926045
9800.0,9800.0,0.11245308849294983
300.0,300.0,0.10038190211961011
900.0,900.0,0.10324629532374408
1400.0,1400.0,0.07177877049886108
1900.0,1900.0,0.11279468260843638
2400.0,2400.0,0.1084369587705451
2900.0,2900.0,0.1147183818759279
3400.0,3400.0,0.07562270286870525
3900.0,3900.0,0.07083422727494824
4400.0,4400.0,0.08056154144725962
4900.0,4900.0,0.10562508933752784
5400.0,5400.0,0.11443060623148424
5900.0,5900.0,0.10440503037470947
6400.0,6400.0,0.07841497061033842
6900.0,6900.0,0.10454276656416966
7400.0,7400.0,0.09095289506768799
7900.0,7900.0,0.09059030345237176
8400.0,8400.0,0.07852478706372785
8900.0,8900.0,0.12972209645162894
9400.0,9400.0,0.10311091619568367
9800.0,9800.0,0.10470420962427919
300.0,300.0,0.08767645554944264
900.0,900.0,0.09796294831314471
1400.0,1400.0,0.06901777685270451
1900.0,1900.0,0.10912847475080661
2400.0,2400.0,0.09641254249380506
2900.0,2900.0,0.08904183765362834
3400.0,3400.0,0.07572733457228342
3900.0,3900.0,0.1053608117906845
4400.0,4400.0,0.08171487019626636
4900.0,4900.0,0.0823171118433409
5400.0,5400.0,0.07525556389082382
5900.0,5900.0,0.08033233646214637
6400.0,6400.0,0.10524575288797947
6900.0,6900.0,0.08649601575222278
7400.0,7400.0,0.0856056720752671
7900.0,7900.0,0.09966153825645359
8400.0,8400.0,0.10214312338607331
8900.0,8900.0,0.1526853998325859
9400.0,9400.0,0.11594122705933074
9800.0,9800.0,0.09796182268754285
300.0,300.0,0.1159611391594483
900.0,900.0,0.09424713847135209
1400.0,1400.0,0.07247129372047525
1900.0,1900.0,0.07394938932019199
2400.0,2400.0,0.08277119341231941
2900.0,2900.0,0.11376989514946446
3400.0,3400.0,0.12302080463721574
3900.0,3900.0,0.11000781403194691
4400.0,4400.0,0.09071616581868458
4900.0,4900.0,0.10516204894877637
5400.0,5400.0,0.10637335804547123
5900.0,5900.0,0.11096050244441029
6400.0,6400.0,0.11653724484829771
6900.0,6900.0,0.15266453462863483
7400.0,7400.0,0.08521032390340838
7900.0,7900.0,0.11568820848552086
8400.0,8400.0,0.08300941496992702
8900.0,8900.0,0.15211344936115045
9400.0,9400.0,0.10456978784394642
9800.0,9800.0,0.08869164463134126
300.0,300.0,0.10208994567274474
900.0,900.0,0.09770709834569472
1400.0,1400.0,0.11036041787874411
1900.0,1900.0,0.06773821746013994
2400.0,2400.0,0.12591031369144143
