,number,value,duration,params_Dropout,params_learn_rate,system_attrs_grid_id,system_attrs_search_space,ID_G,ID_MSE,ID_MAE,ID_G_div_MSE,ID_G_sum_MSE,ID_G_div_MAE,ID_G_sum_MAE,OD_G,OD_MSE,OD_MAE,OD_G_div_MSE,OD_G_sum_MSE,OD_G_div_MAE,OD_G_sum_MAE
10,10,0.9440389374999986,0 days 00:01:52.390520,0.95,0.0001928571428571429,448,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.9959630528095734,0.013535268604755402,0.07368336617946625,0.013590131246910143,0.008786107897590989,0.07398202771840613,0.03886015668494641,0.9440389374999986,0.0531458742916584,0.13761545717716217,0.05629627357574801,0.05455346839582992,0.1457730732395372,0.0967882598385818
11,11,0.7650253749999998,0 days 00:01:51.348742,0.7948275862068965,0.00018571428571428574,372,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.9494636771592094,0.007812260650098324,0.05306620895862579,0.008228077427324622,0.029174291745444447,0.055890720451149456,0.05180126589970818,0.7650253749999998,0.046042121946811676,0.12089231610298157,0.06018378403044695,0.14050837347340595,0.15802392973302565,0.1779334705514909
12,12,0.8138084374999999,0 days 00:01:52.308771,0.8879310344827586,0.0001642857142857143,414,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.7434328433922994,0.011062582954764366,0.06565762311220169,0.014880406553314986,0.13381486978123247,0.08831681798265005,0.16111238985995113,0.8138084374999999,0.05211646109819412,0.13409380614757538,0.06404020737152179,0.11915401179909713,0.16477318244513212,0.16014268432378775
13,13,0.43728250000000146,0 days 00:01:51.274744,0.2982758620689655,0.00014285714285714287,126,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.45144763917794073,0.006512066815048456,0.04614796116948128,0.014424855176796455,0.27753221381855386,0.1022221785310783,0.2973501609957703,0.43728250000000146,0.0437009334564209,0.11424119025468826,0.09993753113015214,0.3032092167282097,0.2612526004463656,0.3384793451273434
14,14,0.6339184375000003,0 days 00:01:52.977854,0.2672413793103448,0.0001142857142857143,107,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.8491501235691987,0.00662190793082118,0.04659927636384964,0.007798277061996505,0.07873589218081123,0.05487754764490967,0.09872457639732546,0.6339184375000003,0.04348764568567276,0.11418227851390839,0.0686013264690266,0.20478460409283622,0.18012140325845677,0.24013192050695403
15,15,0.4987620624999989,0 days 00:01:52.645849,0.546551724137931,0.00017142857142857145,250,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.5683150884495326,0.007554549258202314,0.051844626665115356,0.013292888771988273,0.21961973040433486,0.09122514555535903,0.24176476910779138,0.4987620624999989,0.046401701867580414,0.12060084193944931,0.09303374365523344,0.27381981968379077,0.24180035132373282,0.3109193897197252
16,16,0.2934976875000011,0 days 00:01:52.634461,0.05,0.0001642857142857143,9,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.30419373699271574,0.006145670544356108,0.04534456506371498,0.020203146209099212,0.3509759667758202,0.1490647556126404,0.37057541403549965,0.2934976875000011,0.039340246468782425,0.10885623842477798,0.13403937456502882,0.3729212794843907,0.37089300209487197,0.40767927546238847
17,17,0.8359307500000002,0 days 00:01:53.869724,0.7948275862068965,0.0001928571428571429,373,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.9219168639438083,0.00797884538769722,0.05423916503787041,0.008654625704062984,0.04303099072194444,0.05883303273772887,0.06616115054703103,0.8359307500000002,0.045413970947265625,0.12033924460411072,0.05432743196403005,0.10474161047363273,0.14395838962032523,0.14220424730205528
18,18,0.7014109374999998,0 days 00:01:52.266215,0.5155172413793103,0.00012857142857142858,229,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.39583806581685804,0.007484333124011755,0.050727542489767075,0.018907562890817384,0.30582313365357683,0.12815225939699576,0.3274447383364545,0.7014109374999998,0.04344730079174042,0.1172977164387703,0.061942719266108434,0.1710181816458703,0.16723109117295498,0.20794338946938523
19,19,0.8801141250000012,0 days 00:01:52.420556,0.8258620689655172,0.0002,389,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.0001, 0.00010714285714285715, 0.0001142857142857143, 0.00012142857142857143, 0.00012857142857142858, 0.00013571428571428572, 0.00014285714285714287, 0.00015000000000000001, 0.00015714285714285716, 0.0001642857142857143, 0.00017142857142857145, 0.0001785714285714286, 0.00018571428571428574, 0.0001928571428571429, 0.0002])])",0.9967589034859522,0.008335691876709461,0.05470716953277588,0.008362796507317017,0.005788394195378632,0.05488505730066638,0.02897413302341184,0.8801141250000012,0.04584566503763199,0.12091977894306183,0.052090591135134805,0.0828657700188154,0.13739102180988366,0.12040282697153032
