x,y,Phi
700.0,700.0,0.09063516988602678
1950.0,1950.0,0.09235973808888283
2950.0,2950.0,0.09959187484746759
3950.0,3950.0,0.0932334639789908
4950.0,4950.0,0.10980297888770996
5950.0,5950.0,0.10692604541406169
6950.0,6950.0,0.09876180727025798
7950.0,7950.0,0.11204848819799394
8950.0,8950.0,0.10893681666780712
9700.0,9700.0,0.10589584493742604
700.0,700.0,0.11420875274186003
1950.0,1950.0,0.08540070228658608
2950.0,2950.0,0.09043529613083363
3950.0,3950.0,0.10332301201465263
4950.0,4950.0,0.1066087664587732
5950.0,5950.0,0.09502260241817584
6950.0,6950.0,0.09963252277580845
7950.0,7950.0,0.09950747551212183
8950.0,8950.0,0.09563907868072331
9700.0,9700.0,0.09152271191291693
700.0,700.0,0.10266263047257554
1950.0,1950.0,0.07882541445841397
2950.0,2950.0,0.09792714204525717
3950.0,3950.0,0.09736405075941768
4950.0,4950.0,0.09045662257924596
5950.0,5950.0,0.10311678460195826
6950.0,6950.0,0.10938520596401993
7950.0,7950.0,0.0974220057229723
8950.0,8950.0,0.11421675210298023
9700.0,9700.0,0.09191407801533152
700.0,700.0,0.09488661642275173
1950.0,1950.0,0.10888176138357011
2950.0,2950.0,0.09018973716555825
3950.0,3950.0,0.1051400733594263
4950.0,4950.0,0.09115010171660762
5950.0,5950.0,0.11013931969773823
6950.0,6950.0,0.10432514700164423
7950.0,7950.0,0.09613060434853456
8950.0,8950.0,0.09902111369998036
9700.0,9700.0,0.10726207736844737
700.0,700.0,0.09487096913416145
1950.0,1950.0,0.09341948185793165
2950.0,2950.0,0.10237585887936067
3950.0,3950.0,0.10626151346106884
4950.0,4950.0,0.10485738874643773
5950.0,5950.0,0.10541818034033257
6950.0,6950.0,0.10380466241083243
7950.0,7950.0,0.09539256147228778
8950.0,8950.0,0.08169761309373266
9700.0,9700.0,0.09744218191284718
700.0,700.0,0.09820090003509745
1950.0,1950.0,0.10335944233741735
2950.0,2950.0,0.09529695623104338
3950.0,3950.0,0.10523387383880584
4950.0,4950.0,0.08509615348070416
5950.0,5950.0,0.10207024535844829
6950.0,6950.0,0.10629377844860023
7950.0,7950.0,0.0987535584726868
8950.0,8950.0,0.10305406521868672
9700.0,9700.0,0.10633181345054879
700.0,700.0,0.09050238203482984
1950.0,1950.0,0.10281937012206098
2950.0,2950.0,0.09913532075034896
3950.0,3950.0,0.08258225947812849
4950.0,4950.0,0.0915906601988146
5950.0,5950.0,0.09575308006759614
6950.0,6950.0,0.10097203171931621
7950.0,7950.0,0.09700769248603089
8950.0,8950.0,0.11196407430133867
9700.0,9700.0,0.10192641901810072
700.0,700.0,0.09914872324669002
1950.0,1950.0,0.08329497881511917
2950.0,2950.0,0.10414784624451011
3950.0,3950.0,0.10736388876937748
4950.0,4950.0,0.10288451270362028
5950.0,5950.0,0.10723624322118756
6950.0,6950.0,0.1091996378793429
7950.0,7950.0,0.09937787132943895
8950.0,8950.0,0.11686085074943818
9700.0,9700.0,0.10049786928350533
700.0,700.0,0.09435814524838286
1950.0,1950.0,0.07984088595112149
2950.0,2950.0,0.11005402796828197
3950.0,3950.0,0.10779361540706106
4950.0,4950.0,0.1132025648093103
5950.0,5950.0,0.1111876355764973
6950.0,6950.0,0.09883180313644621
7950.0,7950.0,0.09373900120293516
8950.0,8950.0,0.10800946974900437
9700.0,9700.0,0.11578853619053872
700.0,700.0,0.09711772887064989
1950.0,1950.0,0.10820632885567755
2950.0,2950.0,0.08339215571288895
3950.0,3950.0,0.09681960775807594
4950.0,4950.0,0.11797305675973674
5950.0,5950.0,0.10501761691590587
6950.0,6950.0,0.10326265955533209
7950.0,7950.0,0.09321595989539933
8950.0,8950.0,0.09025428407742604
9700.0,9700.0,0.10460224342022918
