x,y,Phi
100.0,100.0,0.09982693950184429
350.0,350.0,0.08197731792140166
550.0,550.0,0.08218401989889568
750.0,750.0,0.12670077216390285
950.0,950.0,0.09680347738187656
1150.0,1150.0,0.09204316699106439
1350.0,1350.0,0.08614576582400463
1550.0,1550.0,0.07305161642784007
1750.0,1750.0,0.08900523345033856
1950.0,1950.0,0.11719036518465259
2150.0,2150.0,0.10430774850287265
2350.0,2350.0,0.08701917790167309
2550.0,2550.0,0.10427493736050425
2750.0,2750.0,0.10459002422723328
2950.0,2950.0,0.11240683545372786
3150.0,3150.0,0.07433613309394037
3350.0,3350.0,0.09142577807288303
3550.0,3550.0,0.10460149837199058
3750.0,3750.0,0.1108504646651875
3950.0,3950.0,0.07868233995050204
4150.0,4150.0,0.1005714823528917
4350.0,4350.0,0.10234307212341741
4550.0,4550.0,0.11053511376085896
4750.0,4750.0,0.08532110079560801
4950.0,4950.0,0.08427336143366648
5150.0,5150.0,0.10914473039348523
5350.0,5350.0,0.10029579979731611
5550.0,5550.0,0.10212820610006272
5750.0,5750.0,0.10497305863701323
5950.0,5950.0,0.09041043582049792
6150.0,6150.0,0.09034813155985398
6350.0,6350.0,0.08952335403731464
6550.0,6550.0,0.09470425154346009
6750.0,6750.0,0.09815116344832776
6950.0,6950.0,0.1019479148023542
7150.0,7150.0,0.11660003898980754
7350.0,7350.0,0.09942672120151425
7550.0,7550.0,0.0834412575975506
7750.0,7750.0,0.12606785237795134
7950.0,7950.0,0.11402480125633961
8150.0,8150.0,0.09814853331441879
8350.0,8350.0,0.12738711772063047
8550.0,8550.0,0.10331230138447513
8750.0,8750.0,0.08903728921411187
8950.0,8950.0,0.1077729105295104
9150.0,9150.0,0.12139157812785033
9350.0,9350.0,0.09262803982385459
9550.0,9550.0,0.09151555614240042
9750.0,9750.0,0.08457754162121274
9900.0,9900.0,0.09994805715015287
100.0,100.0,0.11543372091975547
350.0,350.0,0.09901697496198847
550.0,550.0,0.0809174277621934
750.0,750.0,0.12228405349549068
950.0,950.0,0.11111612523821504
1150.0,1150.0,0.08031045107836862
1350.0,1350.0,0.09770071337968056
1550.0,1550.0,0.094951187554636
1750.0,1750.0,0.11700998762875314
1950.0,1950.0,0.07927857286006532
2150.0,2150.0,0.08964824628567408
2350.0,2350.0,0.090435705985602
2550.0,2550.0,0.11065954169788828
2750.0,2750.0,0.11082894851348427
2950.0,2950.0,0.08304841870287813
3150.0,3150.0,0.09635749794403406
3350.0,3350.0,0.10271289353606239
3550.0,3550.0,0.07391488733417953
3750.0,3750.0,0.09873642254471438
3950.0,3950.0,0.10055461953983186
4150.0,4150.0,0.09474836056547917
4350.0,4350.0,0.09612369599667205
4550.0,4550.0,0.12025154520533504
4750.0,4750.0,0.09066262015193477
4950.0,4950.0,0.11161192239442327
5150.0,5150.0,0.1378242604419613
5350.0,5350.0,0.11191265050838581
5550.0,5550.0,0.10512943671367754
5750.0,5750.0,0.0899532946701371
5950.0,5950.0,0.12458361436143728
6150.0,6150.0,0.09211514780048402
6350.0,6350.0,0.07481415535696298
6550.0,6550.0,0.10169870302528121
6750.0,6750.0,0.12939898828733204
6950.0,6950.0,0.0800404737526838
7150.0,7150.0,0.11572932774294445
7350.0,7350.0,0.09366626818010218
7550.0,7550.0,0.10996483028392506
7750.0,7750.0,0.10032673645663723
7950.0,7950.0,0.08948122770508281
8150.0,8150.0,0.09132181095851949
8350.0,8350.0,0.10438044708426043
8550.0,8550.0,0.10809121803937695
8750.0,8750.0,0.08707472919529993
8950.0,8950.0,0.10946025429083775
9150.0,9150.0,0.11711997013491804
9350.0,9350.0,0.09548962887061038
9550.0,9550.0,0.0898457421807814
9750.0,9750.0,0.09359309231916241
9900.0,9900.0,0.09646791908326577
100.0,100.0,0.10536799005950492
350.0,350.0,0.07849782769653962
550.0,550.0,0.09258187839983908
750.0,750.0,0.1293671281428168
950.0,950.0,0.13011332641024717
1150.0,1150.0,0.09964566221541277
1350.0,1350.0,0.06963028466027023
1550.0,1550.0,0.11913934518096536
1750.0,1750.0,0.09225457088474084
1950.0,1950.0,0.10545884709618171
2150.0,2150.0,0.1195517752204686
2350.0,2350.0,0.0805858647827121
2550.0,2550.0,0.08935180498036549
2750.0,2750.0,0.12084678954661515
2950.0,2950.0,0.10597177212630149
3150.0,3150.0,0.10824387213390275
3350.0,3350.0,0.1111083244573931
3550.0,3550.0,0.14121820394092327
3750.0,3750.0,0.06987533689920533
3950.0,3950.0,0.08418534682364501
4150.0,4150.0,0.08820063269602009
4350.0,4350.0,0.12046481097066802
4550.0,4550.0,0.09909478111460274
4750.0,4750.0,0.11082570475500224
4950.0,4950.0,0.11414011794359566
5150.0,5150.0,0.10083666091162967
5350.0,5350.0,0.10784829905023013
5550.0,5550.0,0.12289087294698312
5750.0,5750.0,0.12623993655606278
5950.0,5950.0,0.08496603156254698
6150.0,6150.0,0.10507050837425261
6350.0,6350.0,0.09761686543208437
